Num_int;farm_id;Tecnico;map_date;Region;Nom_pol;area_pol;latitud;longitud
9445;9445_B;;XXXX;XXXX;XXXXX;0,6730430;XXXX;XXXX
9445;9445_C;;XXXX;XXXX;XXXXX;0,4023250;XXXX;XXXX
9445;9445_D;;XXXX;XXXX;XXXXX;0,4869490;XXXX;XXXX
9445;9445_E;;XXXX;XXXX;XXXXX;0,4200930;XXXX;XXXX
9445;9445_F;;XXXX;XXXX;XXXXX;0,0851430;XXXX;XXXX
9400;9400_A;;XXXX;XXXX;XXXXX;0,9326630;XXXX;XXXX
9400;9400_B;;XXXX;XXXX;XXXXX;2,5138950;XXXX;XXXX
9400;9400_C;;XXXX;XXXX;XXXXX;5,3473440;XXXX;XXXX
9394;9394;;XXXX;XXXX;XXXXX;5,0373700;XXXX;XXXX
9391;9391_A;;XXXX;XXXX;XXXXX;0,1253720;XXXX;XXXX
9391;9391_B;;XXXX;XXXX;XXXXX;3,2904820;XXXX;XXXX
9391;9391_C;;XXXX;XXXX;XXXXX;0,3594930;XXXX;XXXX
9391;9391_D;;XXXX;XXXX;XXXXX;0,0768230;XXXX;XXXX
10005;10005;;XXXX;XXXX;XXXXX;7,4194920;XXXX;XXXX
9979;9979;;XXXX;XXXX;XXXXX;4,6740210;XXXX;XXXX
9973;9973_E;;XXXX;XXXX;XXXXX;3,8667710;XXXX;XXXX
